Ano,Mês,Valor,Categoia
2000,1,-1.77,La Ninã
2000,2,-1.55,La Ninã
2000,3,-0.98,La Ninã
2000,4,-0.87,La Ninã
2000,5,-0.86,La Ninã
2000,6,-0.79,La Ninã
2000,7,-0.67,La Ninã
2000,8,-0.49,Neutro
2000,9,-0.52,La Ninã
2000,10,-0.7,La Ninã
2000,11,-0.79,La Ninã
2000,12,-0.92,La Ninã
2001,1,-0.73,La Ninã
2001,2,-0.63,La Ninã
2001,3,-0.48,Neutro
2001,4,-0.49,Neutro
2001,5,-0.34,Neutro
2001,6,-0.19,Neutro
2001,7,-0.04,Neutro
2001,8,-0.05,Neutro
2001,9,-0.2,Neutro
2001,10,-0.14,Neutro
2001,11,-0.37,Neutro
2001,12,-0.41,Neutro
2002,1,-0.15,Neutro
2002,2,-0.04,Neutro
2002,3,0.01,Neutro
2002,4,0.02,Neutro
2002,5,0.31,Neutro
2002,6,0.72,El Ninõ
2002,7,0.74,El Ninõ
2002,8,0.87,El Ninõ
2002,9,1.09,El Ninõ
2002,10,1.25,El Ninõ
2002,11,1.47,El Ninõ
2002,12,1.37,El Ninõ
2003,1,0.6,El Ninõ
2003,2,0.64,El Ninõ
2003,3,0.36,Neutro
2003,4,-0.14,Neutro
2003,5,-0.61,La Ninã
2003,6,-0.29,Neutro
2003,7,0.21,Neutro
2003,8,0.26,Neutro
2003,9,0.27,Neutro
2003,10,0.42,Neutro
2003,11,0.33,Neutro
2003,12,0.43,Neutro
2004,1,0.27,Neutro
2004,2,0.23,Neutro
2004,3,0.12,Neutro
2004,4,0.07,Neutro
2004,5,0.06,Neutro
2004,6,0.13,Neutro
2004,7,0.49,Neutro
2004,8,0.76,El Ninõ
2004,9,0.81,El Ninõ
2004,10,0.73,El Ninõ
2004,11,0.66,El Ninõ
2004,12,0.74,El Ninõ
2005,1,0.66,El Ninõ
2005,2,0.36,Neutro
2005,3,0.45,Neutro
2005,4,0.26,Neutro
2005,5,0.3,Neutro
2005,6,0.04,Neutro
2005,7,-0.23,Neutro
2005,8,-0.05,Neutro
2005,9,-0.04,Neutro
2005,10,-0.06,Neutro
2005,11,-0.59,La Ninã
2005,12,-0.92,La Ninã
2006,1,-0.91,La Ninã
2006,2,-0.67,La Ninã
2006,3,-0.71,La Ninã
2006,4,-0.32,Neutro
2006,5,-0.09,Neutro
2006,6,0.0,Neutro
2006,7,0.01,Neutro
2006,8,0.31,Neutro
2006,9,0.6,El Ninõ
2006,10,0.7,El Ninõ
2006,11,0.99,El Ninõ
2006,12,1.14,El Ninõ
2007,1,0.7,El Ninõ
2007,2,0.13,Neutro
2007,3,-0.18,Neutro
2007,4,-0.32,Neutro
2007,5,-0.47,Neutro
2007,6,-0.35,Neutro
2007,7,-0.59,La Ninã
2007,8,-0.72,La Ninã
2007,9,-1.11,La Ninã
2007,10,-1.39,La Ninã
2007,11,-1.54,La Ninã
2007,12,-1.58,La Ninã
2008,1,-1.68,La Ninã
2008,2,-1.67,La Ninã
2008,3,-1.21,La Ninã
2008,4,-0.99,La Ninã
2008,5,-0.84,La Ninã
2008,6,-0.68,La Ninã
2008,7,-0.3,Neutro
2008,8,-0.13,Neutro
2008,9,-0.25,Neutro
2008,10,-0.35,Neutro
2008,11,-0.46,Neutro
2008,12,-0.86,La Ninã
